Modules,Sub-Modules,Input Type,Tier,How can admins edit this?,How will client see it in elements view?,How will client see it in presentation view?,What would happen when client press the copy the prompt in here?
1. Brand Core & Strategy,Mission,Form / Text Input,Optional,<EditableText> rich text editor with word counter and live autosave.,Copy-to-clipboard raw text button + markdown snippet export.,Hero section with bold accent quote typography and high-contrast glassmorphism card.,"Copies LLM instruction: ""Act as [Brand Name] Strategy Engine. Core Mission: [Mission Statement]. Align all messaging to this mission."""
1. Brand Core & Strategy,Vision,Form / Text Input,Optional,<EditableText> rich text editor with autosave.,Copy-to-clipboard raw text button + pitch deck copy snippet.,Editorial card with dynamic entrance animation and accent border.,"Copies LLM instruction: ""Brand Vision: [Vision Statement]. Align long-term positioning and strategic narrative to this future state."""
1. Brand Core & Strategy,Core Values,Form / Text Input,Optional,"Reorderable <EditableListItem> array with inline title/description popovers and ""+ Add Value"" button.",Downloadable value cards (PNG/SVG) + bulleted plain-text export.,"3-column interactive grid with dynamic index badges (01, 02, 03) and hover glow.","Copies LLM instruction: ""Core Values for [Brand Name]: [Value List]. Reject copy that violates these pillars."""
1. Brand Core & Strategy,Claim / Pitch,Form / Text Input,Optional,<EditableText> for 1-liner claim + 30-sec elevator pitch modal editor.,Copyable claim badge + plain-text snippet for pitch decks and press releases.,Full-width callout block with oversized quotes and brand-themed accent line.,"Copies LLM instruction: ""Brand Claim: [Claim]. Pitch: [Pitch]. Use as primary hook for headlines, hero sections, and GTM copy."""
1. Brand Core & Strategy,Brand Personality & Archetype,Form / Text Input,Optional,Archetype dropdown selector + pill-tag editor for personality traits.,Archetype summary tag + downloadable persona summary PDF/PNG.,Visual archetype badge with trait radar/slider visualizer and glowing pill tags.,"Copies LLM instruction: ""Brand Archetype: [Archetype]. Primary Traits: [Traits List]. Tone MUST feel high-velocity, confident, and direct."""
1. Brand Core & Strategy,Editorial Guidelines (Do's & Don'ts),Form / Text Input,Optional,Dual-column <EditableListItem> list (Do's / Don'ts) with inline inputs and reordering handles.,Quick-reference copyable rule checklist for writers and agency partners.,Side-by-side Emerald Green (✓) vs. Rose Red (✗) comparison cards with crisp typography.,"Copies LLM instruction: ""Editorial Rules: ALWAYS: [Do's List]. NEVER: [Don'ts List]. Reject corporate fluff and passive voice."""
2. Brand Voice & AI Texting,Tone of Voice Matrix Sliders,Form / Text Input,Optional,"Interactive multi-axis slider inputs (Formal vs. Casual, Punchy vs. Detailed) with weight numbers.",Raw numeric tone scores (0–100) + JSON tone configuration snippet.,Visual tone matrix chart with interactive multi-axis balance sliders.,"Copies LLM instruction: ""Tone Calibration: [Axis 1]: [Score]/100, [Axis 2]: [Score]/100. Match copy density and pacing to these exact parameters."""
2. Brand Voice & AI Texting,Copywriting Examples,Form / Text Input,Optional,"Dual-column text editor for ""Approved Copy"" vs. ""Forbidden Copy"" paired examples.",Copyable text snippets + markdown reference sheet for copywriters.,High-contrast side-by-side card rendering with green checkmark and red cross tags.,"Copies LLM instruction: ""Copywriting Benchmarks: APPROVED COPY: [Good Examples]. REJECTED COPY: [Bad Examples]. Mirror structure and cadence."""
2. Brand Voice & AI Texting,AI System Prompt,Form / Text Input,Optional,"Syntax-highlighted code editor with variable tags ({brand_name}, {tone}, {mission}).","1-Click ""Copy Master Prompt"" button + download button for custom GPT setup.",Dark-mode terminal component with live syntax highlighting and copy toast confirmation.,"Copies compiled LLM System Prompt: ""[Full Compiled Master AI System Prompt with dynamic brand variables resolved]."""
3. Logo System,Primary Logo,Figma Frame Import,Essential,<EditableImage> slot picker + stage toggle (Dark/Light) + aspect ratio popover.,1-Click SVG/PNG asset downloads + raw inline SVG code viewer & copy button.,Interactive dark/light stage comparison toggle with full-bleed vector rendering.,"Copies LLM instruction: ""Primary Logo Asset URL: [SVG URL]. Stage: [Dark/Light]. Render lockup prominently without alteration."""
3. Logo System,Secondary Logo,Figma Frame Import,Optional,<EditableImage> slot picker + layout orientation selector (Horizontal/Vertical).,SVG & PNG asset download buttons + pixel dimension specs.,Responsive card grid with background contrast toggle and dimension overlay.,"Copies LLM instruction: ""Secondary Logo Asset URL: [SVG URL]. Use when primary layout constraints restrict vertical clearance."""
3. Logo System,Tertiary Logo,Figma Frame Import,Optional,<EditableImage> slot picker + usage context label editor.,SVG & PNG asset download buttons + raw SVG code copy button.,Minimalist presentation tile with dark/light stage preview.,"Copies LLM instruction: ""Tertiary Logo Asset URL: [SVG URL]. Use for compact badge placements and micro-headers."""
3. Logo System,Wordmark,Figma Frame Import,Optional,<EditableImage> slot picker + width percentage and alignment inputs.,SVG download button + raw inline SVG string copy button.,Clean horizontal stage container with scale verification bounds.,"Copies LLM instruction: ""Wordmark Asset URL: [SVG URL]. Use wordmark independently only when brand mark is established in context."""
3. Logo System,Image Mark,Figma Frame Import,Optional,<EditableImage> slot picker + bounding box fit controls.,Direct icon SVG/PNG download + favicon/avatar zip exporter.,Square icon stage card with dark/light background fill toggles.,"Copies LLM instruction: ""Image Mark Asset URL: [SVG URL]. Use as standalone graphic mark for app icons, avatars, and favicons."""
3. Logo System,Misc (can be anything),Figma Frame Import,Optional,Generic image asset manager + title/description text editor.,Asset download link + public CDN image URL copy button.,Flexible presentation card container with custom image captioning.,"Copies LLM instruction: ""Auxiliary Logo Asset: [Label]. File URL: [URL]. Guidelines: [Description]."""
3. Logo System,Favicon,Figma Frame Import,Essential,"Multi-size icon dropzone (16x16, 32x32, .ico/.svg) + shape mask selector.","Direct .ico, .svg, and PNG package zip download button.",Interactive browser tab mockup displaying live favicon rendering.,"Copies LLM instruction: ""Favicon Asset URL: [SVG URL]. Ensure pixel clarity at 16x16px and 32x32px viewports."""
3. Logo System,Usage Rules (Clear Space),Figma Frame Import,Essential,Clearspace multiplier input (e.g. 1.5x) + SVG bounding diagram picker.,Downloadable vector clearspace spec overlay sheet.,Interactive vector bounding box overlay showing clearance margins on hover.,"Copies LLM instruction: ""Clearspace Rule: Minimum exclusion zone around logo is equal to [X] times the height of mark X."""
3. Logo System,Misuse Examples,Figma Frame Import,Essential,"Dual-column <EditableImage> list + caption inputs (""Do Not Stretch"", ""Do Not Recolor"").",Downloadable logo misuse reference cheat-sheet (PDF/PNG).,Visual grid featuring red warning badges (✗) over distorted logo anti-examples.,"Copies LLM instruction: ""Unacceptable Logo Modifications: NEVER stretch, recolor, add shadows, or rotate logo lockups. Violations: [List]."""
4. Colors Systems,Primary,Figma CSS / Style API,Essential,"<EditableColor> popover (Hex picker, Color Name, CSS Var Name) + auto-sync trigger.",Swatch card with 1-click Hex/RGB copy + :root CSS variable code export.,Full-width color bar display with dynamic text contrast detection (WCAG check).,"Copies LLM instruction: ""Primary Palette: [Color Name] ([Hex]). Main background and structural color token."""
4. Colors Systems,Secondary,Figma CSS / Style API,Essential,"<EditableColor> popover (Hex picker, Color Name, CSS Var Name) + auto-sync trigger.",Swatch card with 1-click Hex/RGB copy + CSS variable export.,Color bar block with dynamic AAA contrast label overlays.,"Copies LLM instruction: ""Secondary Palette: [Color Name] ([Hex]). Structural card and container surface color token."""
4. Colors Systems,Accent,Figma CSS / Style API,Essential,"<EditableColor> popover (Hex picker, Color Name, CSS Var Name) + auto-sync trigger.",Swatch card with 1-click Hex/RGB copy + CSS variable export.,Vibrant glow-effect swatch strip with interactive hover state.,"Copies LLM instruction: ""Accent Palette: [Color Name] ([Hex]). Use strictly for CTAs, highlights, and active states."""
4. Colors Systems,"Functional (error, success)",Figma CSS / Style API,optional,"<EditableColor> array for Success, Warning, Error, Info colors.",System status swatch list with raw CSS variable snippet export.,Compact status badge matrix displaying functional color usage.,"Copies LLM instruction: ""Functional Tokens: Success: [Hex], Error: [Hex], Warning: [Hex], Info: [Hex]. Match standard system alerts."""
4. Colors Systems,HEX,Figma CSS / Style API,Essential,Parsed Hex string input with live color sync.,"1-Click ""Copy HEX"" button per swatch.",Uppercase Hex display tag overlay on swatch cards.,"Copies LLM instruction: ""Hex Color Mapping: [Color Name]: [Hex Code]."""
4. Colors Systems,RGB,Figma CSS / Style API,Essential,Auto-calculated RGB values from parsed Hex + manual override.,"1-Click ""Copy RGB (rgb(r,g,b))"" button.",Micro RGB label tag inside element details drawer.,"Copies LLM instruction: ""RGB Color Mapping: [Color Name]: rgb([R], [G], [B])."""
4. Colors Systems,CMYK,Figma CSS / Style API,Essential,CMYK print formula input (C% M% Y% K%).,"1-Click ""Copy CMYK"" button for print production handoffs.",Print-ready spec badge with CMYK values for physical collateral.,"Copies LLM instruction: ""Print Color Standard (CMYK): [Color Name]: C:[C] M:[M] Y:[Y] K:[K]."""
4. Colors Systems,"Color Scale (blue-500, neutral-100)",Figma CSS / Style API,optional,Color scale shade generator (Shades 50 to 900) + Hex tweak inputs.,Downloadable tailwind.config.js color object or CSS variables file.,Gradient scale waterfall display showing shade progression.,"Copies LLM instruction: ""Shade Scale: [Base Token]: { 50: [Hex], 100: [Hex], ..., 900: [Hex] }."""
